pH,TDS
,366.80062523
3.716080075,385.375483415
8.099124189,272.094038515
8.316765884,236.12323553
9.092223456,258.96702871
5.584086638,182.304145335
10.22386216,184.373561775
8.635848719,308.494969185
,253.094117835
11.18028447,366.525562975
7.360640106,276.499222675
7.974521649,236.663849825
7.119824384,226.014767745
,246.84519262
7.496232208,289.01947899500004
6.347271761,335.88313323500006
7.0517858,204.84182368
9.181560007,310.683517235
8.975464348,280.4385935
7.371050302,305.44445847500003
,360.633056225
6.660212026,340.386343375
,283.56652610000003
3.902475686,288.91127362500004
5.400301781,307.368147645
6.514415093,268.638792565
3.445061864,287.160819205
,194.343933225
,236.91206935500003
,366.473083145
7.181448581,222.372336095
9.825489908,294.343552685
10.43329098,268.44144197
7.414148196,267.78918673
,249.58811995
5.115817064,287.136446545
3.641629777,296.959062335
5.618064406,259.656518095
,277.634936475
9.267187531,257.97001691500003
,227.109761125
5.331940479,217.82825896
7.145771545,215.821259095
9.920691059,216.575105435
4.758439425,262.56370933
5.702925977,328.01486926
6.953864226,254.269804815
10.68296643,210.47514358
,305.713959525
8.757257397,263.06656948
,249.466763
7.809631898,393.39308086000005
6.652488091,354.88374597
9.147197055,343.0107915
10.56074464,296.761661365
7.484254838,263.036005245
8.520806573,312.857221755
4.999413811,263.4648133
,234.647396425
,188.617639015
3.906078355,175.14188328
6.391353624,240.069778585
,192.65840568
8.692092013,258.9245217
8.085759801,270.555759565
6.203977702,235.370202795
5.058108869,435.32130603
,315.883425325
,216.6644012
7.261550522,325.768807455
7.160467231,278.22362386000003
5.704764776,327.84614265
6.217273135,361.8249115
8.67993497,229.41268226500003
,276.38882362000004
6.897322141,248.95930163000003
3.514545529,199.7964423
3.722500486,303.915932385
6.455004797,310.42787503
7.316804754,276.84371013000003
1.844538366,266.75172147
5.519125656,288.320741865
7.408985467,327.694896165
5.976769618,334.177298065
6.395359132,372.710191815
6.20964226,271.2070764
6.762832522,302.51895349
9.918717064,279.830009485
10.15544017,316.84843515
8.721726711,329.50992925500003
,373.82455136
,273.46123428
6.099646705,189.21814379
9.02678772,382.407772825
6.953371603,358.24316918000005
6.140877557,356.24729484500006
7.077874007,216.483010835
5.488314309,286.86523937500004
7.205559175,271.981638435
9.177869866,277.54635558
4.270716195,227.18729176
7.348844512,321.20298216500004
8.52616987,308.25631349500003
,383.98671168
2.612035915,304.25217329000003
8.490571562,282.75058389500003
,301.20925061500003
8.858401531,223.797185625
6.098156521,159.80876080000002
8.419970682,301.37073031
9.286155021,229.931065
7.875895135,289.49319581000003
7.725332908,220.617362355
3.388090611,230.04340281
6.745306715,242.48256604
,171.45174377499998
7.183825723,188.77549496000003
10.1119767,261.97717656500004
7.397413299,318.40354026
7.812804388,287.654753425
6.877456933,222.42762529000004
,304.81425962000003
,178.52938779000002
7.521051679,328.71109160500004
8.550875469,280.9854255
10.30847766,248.91847812
,302.39080339000003
7.371085073,236.05954996
11.18069466,327.632850415
6.506487767,313.151757295
6.643935775,284.64085338
5.03377399,325.41426203000003
6.912607562,285.77123328
7.977635991,307.88059432
6.078335837,234.03931031
6.242414484,291.357642355
6.06335479,212.725655155
8.129585514,258.06392794
9.562405944,281.698083355
8.167792632,341.639211875
8.594416135,437.16204948
,368.1205411
6.825467901,242.727703075
7.861177701,305.16652478000003
4.96577356,251.16866547500004
6.207432968,346.96730302000003
,319.09131293
9.769251006,229.57770907500003
9.63066548,271.158597385
5.187471605,239.73002859
7.633570088,273.34721167000004
5.77119905,203.906257295
6.579969329,165.35562914000002
4.801154368,381.806757605
7.948815718,282.52604809
6.906992172,231.698438985
,256.972153945
,259.526383285
8.461330874,310.27318959
7.726134808,306.96834590500004
,285.262753815
8.927078148,247.12818
6.20801554,312.777187775
6.128425635,269.755678985
,270.78278877
7.308048848,270.14473057000004
,335.00138230000005
8.640886409,201.48913642
,313.51453562
8.153210075,317.14041268
8.29372011,259.66435378
,216.279431225
,224.09915086000004
9.489972878,180.680545305
7.830976343,329.839567395
4.430281212,282.607823615
7.240739639,376.4932561650001
,163.163584155
6.867301322,314.679910285
6.129637015,221.902574855
7.917049443,233.20812853
6.511618075,308.971877955
5.323815584,377.58350526
6.769572869,188.202599065
5.87797404,350.02201286
9.534021716,168.76392201500002
6.340027628,283.075297115
8.66159243,332.980251565
5.653506135,177.086362895
6.626012184,212.71125109
7.793833573,241.29103245
7.59312765,251.959221995
7.362736502,272.51799126500003
9.320305445,324.89870861500003
3.719791644,277.87235528
6.655605026,218.94044562
9.868877881,275.79034002000003
5.590614436,305.11850876
5.554436511,199.4671419
4.126528715,289.406946985
5.970035657,213.0613173
,291.74992366000004
8.369154354,320.752535935
6.284248242,256.91969121
11.26782838,205.748316215
9.298018008,259.66028257
7.895469246,265.02594118
7.947485786,276.6580791
10.02615916,336.38334697500005
6.48819324,210.931396585
5.869736755,302.65071252
,248.42859535
5.30414266,323.563753825
7.533614823,236.27912379500003
4.077607725,187.437375515
,233.27769894
7.086168401,260.587827305
6.271012171,353.20463334000004
7.957768344,334.3741193
8.875642278,308.60213735
,300.561591915
6.613709118,243.60070527
7.735705022,386.9640212750001
9.925041328,263.835119665
9.00258311,238.219623655
5.095766465,334.020426545
8.594677108,382.754276385
7.083779061,282.58601501000004
7.682872498,305.393156575
,269.88762749
6.419772474,340.34011414
4.443238899,279.20410245000005
6.978664262,305.551158445
6.623613566,266.65811087500003
3.664710562,189.246491785
4.814135621,269.11996085
5.779673705,278.559611525
6.937818783,285.7562487
7.436782609,339.8159245
4.723312573,267.34176599
9.380658051,327.06090001
7.810144933,228.270952585
9.436637164,305.344863005
9.406325753,226.189000895
6.321259315,319.64745358
,265.99350472500004
4.705356496,240.61580816
8.896418988,276.397460105
6.581878202,228.45994561
6.755145902,250.324521005
9.445129838,385.22836365000006
9.024845037,293.24326265
,309.12281556
6.80011909,244.696785515
7.174135163,205.107435
7.657991237,270.805722785
8.322986672,233.17181472
5.934279093,180.299949245
9.802720782,333.07867502000005
6.101955231,271.598309255
4.997770601,193.447501
4.815766791,312.962538395
6.548020558,323.25913932000003
13.17540172,325.15986867000004
6.618010906,261.08536389
7.788054733,233.719902975
5.191834327,252.665776675
5.626339528,225.25958416000003
6.869638941,350.653469985
9.058628424,301.2030164
7.291888325,285.77206359
7.275908774,242.67470019
6.512737124,311.67583109
7.207886781,304.56583872
,409.032810875
5.324941856,255.07397227
7.082300649,229.469747195
5.33418358,234.116465245
10.7618978,255.25765317
6.286806948,366.232603815
9.794558699,277.63056646
8.210443565,254.19476784000005
6.941719438,243.41546606
10.35611883,237.718189475
7.958984292,212.95552265
3.882631081,221.839225595
5.671773833,242.14790782
10.00330054,373.460776845
6.552847474,310.15653942
7.628552723,322.378540965
4.79084054,395.750456595
7.710959939,335.584653885
8.291299006,309.340934435
6.193170101,253.11388544
9.032660579,253.927196965
6.139493741,270.55523339
7.12942473,210.14429488
,331.114433975
5.418503763,295.43819214
8.075494508,209.136420285
,189.37990591
10.04967372,287.79923230500003
5.667650647,360.17834853
,271.460281235
8.923980608,270.15916447
6.428866313,302.92885948
6.960603502,304.58440252500003
5.873675846,273.189299565
6.79546901,324.1328532
10.04102797,362.365939845
,315.670700735
7.296037734,250.649308455
,244.25746566
5.862641233,215.520590155
7.292141805,282.820211245
8.062805643,331.769361625
7.82197094,191.51374541
11.301794,267.056474035
6.593764313,318.307238535
9.161088613,246.82136804
,189.07815667000003
4.642953052,285.963865265
7.798453676,329.666147395
5.564342491,240.211083645
7.886591227,211.97497763
7.443189014,279.816742205
3.657123133,277.050233915
9.597191857,217.87844533
6.964225943,245.75560464
7.672909523,260.74157109000004
6.737004072,249.80063745
,301.43211553
5.382489039,358.45953143
7.022952113,268.26112521
,363.881600615
10.02622381,252.5037229
5.583832998,181.115375155
7.952929116,201.015502805
5.500186641,305.36699375
7.543700466,286.18423964
6.848331559,363.230118355
,317.19822004
5.910251729,451.9901932
8.716820334,290.56824992
6.016889136,249.08505362
9.567822726,320.06749086
4.296247024,214.54379635
3.551579177,334.595897025
8.529669348,324.12304125500003
8.065339036,323.062502425
9.158445163,276.73881144
8.848586283,311.86478355500003
9.495456382,266.143148505
8.052893916,213.48152169500003
2.798549099,338.74134034
6.425873866,326.94420707
7.757269666,353.29371909
7.748654706,286.994205745
5.117390303,231.960486615
7.481535362,336.94412219000003
5.374222585,227.61572587000003
7.063646976,261.6858413
6.876451043,226.970955575
4.812433652,394.567252495
4.993530734,279.388082285
4.788861062,289.15530852
4.037287739,260.78277615
6.505872509,172.41327909
6.779773967,298.91975724
6.952511674,257.01455247
5.628406919,228.25478858
5.966000489,264.424096495
6.319431545,199.99938439
8.02724787,286.6103357
8.882684452,346.018828545
5.991283475,393.01032088500006
10.27244427,290.192971445
,254.12077145
6.105140135,204.727308305
9.443358884,298.14020047500003
6.887414371,251.304860625
6.512900833,192.4483483
5.772718095,302.61353577
4.912557262,212.85917276
9.739561949,240.234337915
5.541979019,336.658260575
,250.04516901
,327.38165531500005
6.448931033,307.93834604
5.477912295,232.7286845
8.544708662,256.02825014
7.378597016,261.312964185
6.66400305,225.7796684
6.775582812,233.16648998500003
8.736371211,216.855466035
7.146976296,338.07238283000004
,382.56836325500007
5.040331692,343.88414794500005
,226.172374025
7.745499128,273.965467165
6.259651603,247.15612525500003
8.59639118,226.226967785
5.767349597,275.89974880000005
7.088940642,240.480066645
8.029181613,280.348065465
,362.324221025
4.725785565,267.22441544500003
8.19576536,262.07344345
6.443753668,229.02985482
7.039094321,385.707545925
,204.021201345
,271.994833955
6.945224092,239.19868531000003
5.742110407,323.79255096500003
5.59662785,359.000658575
7.350378987,362.372195055
6.262798867,368.567728035
9.927023723,313.84758288
5.381407519,200.67436837500003
4.961352728,291.94567447500003
6.457097525,336.33092792
6.53936951,346.17231012
6.252410005,314.98076428
7.967344823,250.93596528
,347.946528475
7.60952119,240.676072
6.887863944,286.651697605
9.879071258,287.51936616
7.63876177,256.217639925
6.961891686,344.64391643500005
8.060609624,275.22354496
7.240271791,211.50200994
7.486779709,289.04107622000004
8.410460643,337.37055631500004
6.143921454,305.4891606
6.09617989,283.25945375
6.384824009,284.523144945
9.462666017,315.70322816500004
7.868147086,357.11973882
5.873157137,229.09642665
,347.18467654
6.529304448,274.83141153
5.152203722,227.503235635
7.858662779,243.147349055
7.704410252,258.30977887
6.728004386,211.59940061
10.46450248,324.30574241
9.11278625,274.32567175
8.079808358,383.20893741
7.078659419,247.29894657000003
,346.37537746500004
8.043889299,280.043936315
7.040244978,247.882277435
5.483974109,199.131337535
8.53440688,222.144128635
7.266594535,289.2743464
6.256651148,312.84958354
7.240351006,347.62064207000003
8.692115322,336.327856085
8.639540978,272.8627837
7.179864149,232.736571275
7.163999223,270.12538325500003
8.926113143,235.23605846
6.353110302,253.29410236
6.681553568,211.917047355
5.445325981,237.30953168
7.539881893,288.67581119
,259.743540225
4.37047658,296.600495035
10.31640038,319.93420784
6.599593819,291.19206441
4.197583589,241.00141832
7.920794564,306.38965149
6.330732765,284.044638865
,214.331560105
7.76414261,259.43561663500003
8.237142634,245.49336318
5.679234115,166.596663025
7.417570368,322.46837194
4.775983439,298.40431192
7.86509497,262.184387335
5.903465715,282.56783568
7.705711006,336.72818985
7.815121778,246.49486745
6.139743032,321.183931185
5.041405028,288.89477220500004
8.675192692,286.84375694
7.689358004,344.33524372
8.570129121,332.254982215
5.671762326,266.161595635
6.624806428,268.44789621
6.541007699,345.01978387500003
,228.08133517
9.241197563,312.008486595
,297.57751114
6.340809022,217.70924643
5.980357227,353.17618466
7.60597883,260.45900452
6.427512443,368.39057047
,271.236754815
6.109073312,244.105785105
5.842933081,329.391925005
5.36754649,301.260976185
5.345887147,319.888068045
5.386307352,231.105173195
9.919478426,181.18958247
,327.04050957500004
7.121458435,230.05293558
9.418296122,387.93679379
7.457164758,379.99282990500006
5.27222756,266.92154918
7.29195704,246.52557943
7.803833221,223.446608515
6.844350911,342.176844555
5.608745232,387.449639395
5.701154645,331.349127005
5.412762498,273.08109465
,410.347740595
5.018132384,303.69174751500003
4.552238411,300.19358044
,226.54275891
7.025305942,306.23561533500003
5.770620969,251.634813885
8.437875983,381.56469585
5.907078269,232.218330695
6.89834133,278.711534335
10.25273437,343.27905722500003
8.206499938,216.355958845
7.286167388,229.19139516
8.809296432,227.575845835
6.641500687,372.920445495
6.145148361,207.63212119
5.906441765,250.77833196000003
5.38984593,319.63779120000004
5.006562979,197.116622885
6.5036382,336.32845460500005
9.606858896,241.08747455
8.742229882,210.433608125
8.394397412,244.556744705
,396.998924595
3.841205038,314.167236045
4.301373467,237.79299362
9.895889213,312.73891519
4.319440673,183.746811365
8.313773604,395.145301005
,336.37249243
3.410359671,228.48825519
7.510943342,324.41178679
6.978290868,367.02091673
,234.52929266
7.46072722,245.493443
,289.85349627
7.220165553,264.79378022500003
8.790851189,250.19850115
,307.250921315
,277.17996813
9.049166054,306.75149518
9.515140615,325.940441905
6.14524294,282.99474372000003
7.494212047,289.289800085
7.091885817,334.788990965
6.624572528,263.78176318000004
6.032188903,227.48841258
6.344095425,219.1926412
,195.781875445
7.459144859,321.16132022
6.361666803,196.42396163
9.011588754,247.09438312
7.466213132,296.57039789
5.739816333,276.260892115
7.785106673,319.430618975
7.138586781,259.97064171
8.805177745,194.53185355500003
8.003031485,365.04857168
7.157337864,329.48477705
6.427365144,216.198288735
6.124672271,303.66168430000005
8.457901037,240.96286994
5.772197394,269.10977808
,264.20315025
6.760790523,297.41063768
7.895045662,306.82789306
8.576739928,253.040309925
5.596729818,275.767058645
8.145632374,244.835420505
6.665495068,207.06681476000003
6.499067998,385.81514114
9.735889388,292.08906363
9.268281895,280.45901793
,291.15912995
10.0596421,310.68944120500004
6.475885399,303.32212300000003
6.096128348,262.89903380000004
6.297845634,282.13165643
5.284096687,353.068136005
8.26994471,263.471395785
6.03956779,232.69110319
6.243279004,333.381566115
8.214099764,272.141197055
,331.20517254500004
,232.127754365
,273.95176458
9.836030547,195.04061629
8.719764332,313.20471988
7.009601694,258.69746695000003
6.492638846,424.14943454
7.814524321,240.50739238500003
9.652562935,255.29884432
8.00754122,290.86483465
,243.401501135
,276.95233956000004
7.386837696,297.728710825
5.497580321,309.94889841500003
6.057828114,258.203909535
,248.79267764
6.268953337,347.451544375
,306.190715935
6.284984822,373.451436475
9.043095632,242.15829235
8.523062079,283.80689369500004
,191.65042097500003
,279.75714026
4.02905271,327.426078395
6.412707042,252.989941685
6.27629499,305.779289335
7.648877928,255.64080035
5.548181849,280.782078785
,284.78586727500004
7.468617019,294.58738816
,271.87537403
